Row,m.z,RT,Annotation.ID,formula,adduct,evidence,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_0839,219.0877908,4.004610502,ascr#5,C9H16O6,M-H,ms2,Yes,no,ascr#7--54.046,NA,Cluster_1254,1_layer_gnps,simil:0.8877; mzdiff:NA; homol mz:NA; homol RT:NA,NA,54.0459439,1
Cluster_1254,273.1337347,6.586553702,ascr#7,C13H22O6,M-H,MS2,Yes,no,ascr#5+-54.046,NA,Cluster_0839,1_layer_gnps,simil:0.8877; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-54.0459439,1
Cluster_1268,275.1501542,9.23731972,,,,,Yes,yes,ascr#5+C4H8,C13H24O6,Cluster_0839,2_layers_gnps_mass,simil:0.8793; mzdiff:C4H8; homol mz:NA; homol RT:NA,NA,-56.06236339999998,4
Cluster_1269,275.1496422,6.875533599,ascr#1,C13H24O6,M-H,ms2,Yes,yes,ascr#5+C4H8,C13H24O6,Cluster_0839,1_layer_mass,simil:NA; mzdiff:C4H8; homol mz:NA; homol RT:NA,NA,-56.06185140000002,3
Cluster_1342,285.1359739,8.022773213,,,,,Yes,no,ascr#7+C,C14H22O6,Cluster_1254,1_layer_mass,simil:NA; mzdiff:C; homol mz:NA; homol RT:NA,NA,-12.00223920000002,1
Cluster_1364,287.0755385,4.003870718,,,,,Yes,no,ascr#5+-67.988,NA,Cluster_0839,1_layer_gnps,simil:0.814; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-67.9877477,1
Cluster_1389,291.1440615,5.035789431,,,,,Yes,no,ascr#5+C4H8O,C13H24O7,Cluster_0839,1_layer_mass,simil:NA; mzdiff:C4H8O; homol mz:NA; homol RT:NA,NA,-72.05627070000003,4
Cluster_1488,301.1644779,8.409379438,ascr#3,C15H26O6,M-H,ms2,Yes,no,ascr#7+C2H4,C15H26O6,Cluster_1254,2_layers_gnps_mass,simil:0.8925; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.030743200000018,2
Cluster_1490,301.1644779,8.409379438,,,,,Yes,no,ascr#7+C2H4,C15H26O6,Cluster_1254,2_layers_gnps_mass,simil:0.8538; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.030743200000018,3
Cluster_1491,301.1644936,8.452383333,,,,,No,no,ascr#7+C2H4,C15H26O6,Cluster_1254,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.030758900000023,2
Cluster_1492,301.1659438,10.35796813,,,,,Yes,no,ascr#7+C2H4,C15H26O6,Cluster_1254,2_layers_gnps_mass,simil:0.8877; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.03220909999999,3
Cluster_1509,303.1803199,8.711716667,ascr#10,C15H28O6,M-H,ms2,Yes,no,ascr#1+C2H4,C15H28O6,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.030677699999956,2
Cluster_1510,303.1803192,8.724631044,,,,,No,no,ascr#1+C2H4,C15H28O6,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.03067699999997,2
Cluster_1511,303.1817546,10.60112006,,,,,No,no,ascr#1+C2H4,C15H28O6,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.03211239999996,2
Cluster_1615,315.1799803,9.302638992,ascr#15,C16H28O6,M-H,ms2,Yes,no,ascr#7+C3H6,C16H28O6,Cluster_1254,2_layers_gnps_mass,simil:0.808; mzdiff:C3H6; homol mz:NA; homol RT:NA,NA,-42.04624560000002,3
Cluster_1658,317.1219363,2.650545036,,,,,Yes,no,ascr#7+CO2,C14H22O8,Cluster_1254,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol mz:NA; homol RT:NA,NA,-43.988201600000025,1
Cluster_1662,317.1978704,5.658848576,,,,,No,no,ascr#1+C3H6,C16H30O6,Cluster_1269,1_layer_mass,simil:NA; mzdiff:C3H6; homol mz:NA; homol RT:NA,NA,-42.04822819999998,3
Cluster_1663,317.1978704,5.658848576,,,,,No,no,ascr#1+C3H6,C16H30O6,Cluster_1269,1_layer_mass,simil:NA; mzdiff:C3H6; homol mz:NA; homol RT:NA,NA,-42.04822819999998,3
Cluster_1679,319.1758062,6.713609356,,,,,Yes,no,ascr#1+C2H4O,C15H28O7,Cluster_1269,1_layer_mass,simil:NA; mzdiff:C2H4O; homol mz:NA; homol RT:NA,NA,-44.026163999999994,3
Cluster_1703,323.1603089,5.245932995,,,,,Yes,no,ascr#7+-50.008,NA,Cluster_1254,1_layer_gnps,simil:0.8213; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-50.02657420000003,3
Cluster_1726,325.105577,4.936382227,,,,,Yes,no,iglu#2--32.964,NA,Cluster_2005,1_layer_gnps,simil:0.9879; mzdiff:NA; homol mz:NA; homol RT:NA,NA,32.964012000000025,1
Cluster_1745,327.1203943,4.84890077,,,,,Yes,no,iglu#2--30.949,NA,Cluster_2005,1_layer_gnps,simil:0.9769; mzdiff:NA; homol mz:NA; homol RT:NA,NA,30.94919470000002,3
Cluster_1783,331.2119473,10.52870923,ascr#18,C17H32O6,M-H,ms2,Yes,no,ascr#10+C2H4,C17H32O6,Cluster_1509,2_layers_gnps_mass,simil:0.9283; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.031627400000048,2
Cluster_1784,331.2122634,10.88248362,,,,,Yes,no,ascr#10+C2H4,C17H32O6,Cluster_1509,2_layers_gnps_mass,simil:0.8966; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.03194350000001,3
Cluster_1856,343.0797815,5.347521333,,,,,Yes,no,angl#4--154.016,NA,Cluster_2972,1_layer_gnps,simil:0.8861; mzdiff:NA; homol mz:NA; homol RT:NA,NA,154.0157969,1
Cluster_1877,345.1519905,4.440604714,,,,,Yes,no,ascr#3+CO2,C16H26O8,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol mz:NA; homol RT:NA,NA,-43.9875126,1
Cluster_1950,353.1003492,9.319971722,,,,,Yes,no,ascr#7+HPO3,C13H23O9P,Cluster_1254,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96661449999999,1
Cluster_1951,353.10002480000003,5.47767002,,,,,Yes,no,ascr#7+HPO3,C13H23O9P,Cluster_1254,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96629010000004,1
Cluster_1976,355.1143761,1.924520554,,,,,Yes,no,ascr#1+HPO3,C13H25O9P,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.9647339,1
Cluster_1977,355.1164396,8.359453511,,,,,No,no,ascr#1+HPO3,C13H25O9P,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96679739999996,1
Cluster_1978,355.1158213,5.827791801,,,,,Yes,no,ascr#1+HPO3,C13H25O9P,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96617909999998,2
Cluster_1979,355.1164396,8.359453511,,,,,No,no,ascr#1+HPO3,C13H25O9P,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96679739999996,1
Cluster_2005,358.069589,6.096384074,iglu#2,C14H18NO8P,,sirius + RT publication,Yes,no,iglu#4--119.036,NA,Cluster_2815,1_layer_gnps,simil:0.8514; mzdiff:NA; homol mz:NA; homol RT:NA,NA,119.03623349999998,1
Cluster_2047,363.0480708,5.606473839,,,,,Yes,no,angl#4--134.005,NA,Cluster_2972,1_layer_gnps,simil:0.8237; mzdiff:NA; homol mz:NA; homol RT:NA,NA,134.04750760000002,1
Cluster_2106,372.0843758,6.593887399,,,,,Yes,no,iglu#2+CH2,C15H20NO8P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:Methylation (+CH2); homol mz:NA; homol RT:NA,NA,-14.014786799999968,1
Cluster_2135,375.2398041,10.14528325,,,,,No,no,ascr#10+C4H8O,C19H36O7,Cluster_1509,1_layer_mass,simil:NA; mzdiff:C4H8O; homol mz:NA; homol RT:NA,NA,-72.05948420000004,2
Cluster_2137,375.2398041,10.14528325,,,,,No,no,ascr#10+C4H8O,C19H36O7,Cluster_1509,1_layer_mass,simil:NA; mzdiff:C4H8O; homol mz:NA; homol RT:NA,NA,-72.05948420000004,2
Cluster_2143,378.0584431,4.902723209,,,,,Yes,no,iglu#4--99.047,NA,Cluster_2815,1_layer_gnps,simil:0.9296; mzdiff:NA; homol mz:NA; homol RT:NA,NA,99.04737940000001,2
Cluster_2174,381.1321299,9.381437939,,,,,Yes,no,ascr#3+HPO3,C15H27O9P,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96765199999999,1
Cluster_2176,381.1321299,9.381437939,,,,,Yes,no,ascr#3+HPO3,C15H27O9P,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96765199999999,1
Cluster_2178,381.1315583,7.20738598,,,,,Yes,no,ascr#3+HPO3,C15H27O9P,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96708039999999,2
Cluster_2188,383.1475951,7.496242778,,,,,Yes,no,ascr#10+HPO3,C15H29O9P,Cluster_1509,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96727520000002,3
Cluster_2194,383.2064922,12.91884403,,,,,Yes,no,ascr#3+C5H6O,C20H32O7,Cluster_1488,1_layer_mass,simil:NA; mzdiff:ascr -> mbas (+C5H6O); homol mz:NA; homol RT:NA,NA,-82.0420143,1
Cluster_2279,395.1464629,8.681826118,,,,,Yes,no,ascr#15+HPO3,C16H29O9P,Cluster_1615,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.9664826,4
Cluster_2280,395.0740031,5.800962435,,,,,Yes,no,iglu#2+-37.004,NA,Cluster_2005,1_layer_gnps,simil:0.8463; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-37.00441410000002,1
Cluster_2281,395.1464685,8.698583333,,,,,No,no,ascr#15+HPO3,C16H29O9P,Cluster_1615,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96648820000001,1
Cluster_2364,411.1781357,9.112078842,,,,,Yes,no,ascr#18+HPO3,C17H33O9P,Cluster_1783,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96618839999996,3
Cluster_2365,411.178151,9.527664167,,,,,Yes,no,ascr#18+HPO3,C17H33O9P,Cluster_1783,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.9662037,1
Cluster_2378,414.0944845,9.360906448,,,,,Yes,no,iglu#4--63.011,NA,Cluster_2815,1_layer_gnps,simil:0.8514; mzdiff:NA; homol mz:NA; homol RT:NA,NA,63.01133799999997,1
Cluster_2408,421.1859792,11.37966085,,,,,No,no,ascr#3+C7H4O2,C22H30O8,Cluster_1488,1_layer_mass,simil:NA; mzdiff:ascr -> hbas (+C7H4O2); homol mz:NA; homol RT:NA,NA,-120.02150130000001,1
Cluster_2409,421.1859792,11.37966085,,,,,No,no,ascr#3+C7H4O2,C22H30O8,Cluster_1488,1_layer_mass,simil:NA; mzdiff:ascr -> hbas (+C7H4O2); homol mz:NA; homol RT:NA,NA,-120.02150130000001,1
Cluster_2419,423.1056318,9.542669419,,,,,Yes,no,iglu#2+-65.036,NA,Cluster_2005,1_layer_gnps,simil:0.9447; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-65.03604280000002,3
Cluster_2488,434.0843663,8.722044534,,,,,Yes,no,iglu#2+-76.015,NA,Cluster_2005,1_layer_gnps,simil:0.9067; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-76.01477729999999,3
Cluster_2522,440.1102933,10.53705793,,,,,Yes,no,iglu#2+C5H6O,C19H24NO9P,Cluster_2005,2_layers_gnps_mass,simil:0.9858; mzdiff:ascr -> mbas (+C5H6O); homol mz:NA; homol RT:NA,NA,-82.04070430000002,3
Cluster_2523,440.1118655,11.97250174,,,,,Yes,no,iglu#2+C5H6O,C19H24NO9P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr -> mbas (+C5H6O); homol mz:NA; homol RT:NA,NA,-82.04227650000001,2
Cluster_2524,440.1103233,9.477736079,,,,,Yes,no,iglu#2+C5H6O,C19H24NO9P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr -> mbas (+C5H6O); homol mz:NA; homol RT:NA,NA,-82.0407343,2
Cluster_2535,442.1261974,10.90727137,,,,,Yes,no,iglu#4--34.98,NA,Cluster_2815,1_layer_gnps,simil:0.821; mzdiff:NA; homol mz:NA; homol RT:NA,NA,34.979625099999964,2
Cluster_2549,444.2018519,12.21797278,,,,,No,no,ascr#3+C9H5NO,C24H31NO7,Cluster_1488,1_layer_mass,simil:NA; mzdiff:ascr -> icas (+C9H5NO); homol mz:NA; homol RT:NA,NA,-143.037374,1
Cluster_2550,444.2018642,12.21093333,,,,,No,no,ascr#3+C9H5NO,C24H31NO7,Cluster_1488,1_layer_mass,simil:NA; mzdiff:ascr -> icas (+C9H5NO); homol mz:NA; homol RT:NA,NA,-143.03738629999998,1
Cluster_2551,444.2024813,13.34880436,icas#3,C24H31NO7,,sirius,Yes,no,ascr#3+C9H5NO,C24H31NO7,Cluster_1488,1_layer_mass,simil:NA; mzdiff:ascr -> icas (+C9H5NO); homol mz:NA; homol RT:NA,NA,-143.03800339999998,1
Cluster_2552,445.0640435,7.905322139,,,,,Yes,no,angl#4--52.032,NA,Cluster_2972,1_layer_gnps,simil:0.8917; mzdiff:NA; homol mz:NA; homol RT:NA,NA,52.0315349,1
Cluster_2561,446.2177426,12.46122021,,,,,Yes,no,ascr#10+C9H5NO,C24H33NO7,Cluster_1509,1_layer_mass,simil:NA; mzdiff:ascr -> icas (+C9H5NO); homol mz:NA; homol RT:NA,NA,-143.03742270000004,2
Cluster_2598,451.0900923,9.634874663,,,,,Yes,no,iglu#2+-93.021,NA,Cluster_2005,1_layer_gnps,simil:0.9325; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-93.02050329999997,1
Cluster_2651,455.2041399,8.864785551,,,,,Yes,no,iglu#4--21.854,NA,Cluster_2815,1_layer_gnps,simil:0.8262; mzdiff:NA; homol mz:NA; homol RT:NA,NA,21.901682600000015,2
Cluster_2671,458.2177132,14.14445018,,,,,Yes,no,ascr#15+C9H5NO,C25H33NO7,Cluster_1615,1_layer_mass,simil:NA; mzdiff:ascr -> icas (+C9H5NO); homol mz:NA; homol RT:NA,NA,-143.03773289999998,2
Cluster_2681,460.1001399,9.401318583,,,,,Yes,no,iglu#4--17.006,NA,Cluster_2815,1_layer_gnps,simil:0.8916; mzdiff:NA; homol mz:NA; homol RT:NA,NA,17.0056826,2
Cluster_2683,460.1362851,6.571248695,,,,,Yes,no,iglu#4--16.97,NA,Cluster_2815,1_layer_gnps,simil:0.8827; mzdiff:NA; homol mz:NA; homol RT:NA,NA,16.96953739999998,1
Cluster_2692,462.0962533,12.24316473,,,,,Yes,no,iglu#4--15.01,NA,Cluster_2815,1_layer_gnps,simil:0.8967; mzdiff:NA; homol mz:NA; homol RT:NA,NA,15.009569199999987,1
Cluster_2693,462.0962255,11.31045893,,,,,Yes,no,iglu#4--15.01,NA,Cluster_2815,1_layer_gnps,simil:0.9744; mzdiff:NA; homol mz:NA; homol RT:NA,NA,15.009596999999985,2
Cluster_2694,462.0943023,10.85630456,,,,,Yes,no,iglu#2+-104.025,NA,Cluster_2005,1_layer_gnps,simil:0.9755; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-104.02471329999997,3
Cluster_2698,463.217768,7.822657365,,,,,Yes,no,ascr#3+C6H10O5,C21H36O11,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol mz:NA; homol RT:NA,NA,-162.05329009999997,1
Cluster_2726,465.2325062,8.075087398,,,,,Yes,no,ascr#10+C6H10O5,C21H38O11,Cluster_1509,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol mz:NA; homol RT:NA,NA,-162.05218630000002,1
Cluster_2796,476.1101657,11.08221064,,,,,Yes,no,iglu#2+-118.041,NA,Cluster_2005,1_layer_gnps,simil:0.8991; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-118.04057669999997,3
Cluster_2797,476.1119505,12.44732752,,,,,Yes,no,iglu#4--0.994,NA,Cluster_2815,1_layer_gnps,simil:0.8751; mzdiff:NA; homol mz:NA; homol RT:NA,NA,0.9938720000000103,1
Cluster_2798,476.110183,10.29686991,,,,,Yes,no,iglu#2+-118.041,NA,Cluster_2005,1_layer_gnps,simil:0.9712; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-118.040594,3
Cluster_2814,477.1057746,10.35453423,,,,,Yes,no,iglu#4-0,NA,Cluster_2815,1_layer_gnps,simil:0.8881; mzdiff:NA; homol mz:NA; homol RT:NA,NA,4.7899999970013596e-5,1
Cluster_2815,477.1058225,9.387744937,iglu#4,C21H23N2O9P,,sirius + RT publication,Yes,no,iglu#2+-119.036,NA,Cluster_2005,1_layer_gnps,simil:0.8514; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-119.03623349999998,2
Cluster_2816,477.1157362,9.737558361,,,,,Yes,no,iglu#4+-0.01,NA,Cluster_2815,1_layer_gnps,simil:0.8424; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-0.009913700000026893,2
Cluster_2817,477.1076626,11.85422836,,,,,Yes,no,iglu#4+-0.002,NA,Cluster_2815,1_layer_gnps,simil:0.9119; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-0.0018401000000380918,2
Cluster_2825,478.089869,8.688075014,,,,,Yes,no,iglu#2+C7H4O2,C21H22NO10P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr -> hbas (+C7H4O2); homol mz:NA; homol RT:NA,NA,-120.02028000000001,1
Cluster_2826,478.0898645,9.204373444,,,,,Yes,no,iglu#2+C7H4O2,C21H22NO10P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr -> hbas (+C7H4O2); homol mz:NA; homol RT:NA,NA,-120.02027549999997,1
Cluster_2827,478.0915777,10.92613395,,,,,Yes,no,iglu#2+C7H4O2,C21H22NO10P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr -> hbas (+C7H4O2); homol mz:NA; homol RT:NA,NA,-120.02198870000001,2
Cluster_2875,482.0841983,8.753477962,,,,,Yes,no,angl#4--15.011,NA,Cluster_2972,1_layer_gnps,simil:0.857; mzdiff:NA; homol mz:NA; homol RT:NA,NA,15.011380099999997,1
Cluster_2876,482.0861802,10.54262004,,,,,Yes,no,iglu#4+-4.98,NA,Cluster_2815,1_layer_gnps,simil:0.8086; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-4.980357700000013,2
Cluster_2885,483.0799293,7.15321763,,,,,Yes,no,iglu#4+-5.974,NA,Cluster_2815,1_layer_gnps,simil:0.866; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-5.9741068000000155,1
Cluster_2907,487.1576894,5.52979457,,,,,Yes,no,iglu#4+-10.052,NA,Cluster_2815,1_layer_gnps,simil:0.8449; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-10.051866899999993,1
Cluster_2915,490.1156396,9.245583446,,,,,Yes,no,iglu#4+-13.01,NA,Cluster_2815,1_layer_gnps,simil:0.8719; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-13.00981710000002,1
Cluster_2925,491.1180928,10.38032813,,,,,Yes,no,iglu#4+CH2,C22H25N2O9P,Cluster_2815,1_layer_mass,simil:NA; mzdiff:Methylation (+CH2); homol mz:NA; homol RT:NA,NA,-14.012270300000012,1
Cluster_2949,493.1002073,9.082124336,,,,,No,no,iglu#4+O,C21H23N2O10P,Cluster_2815,1_layer_mass,simil:NA; mzdiff:Hydroxylation (+O); homol mz:NA; homol RT:NA,NA,-15.994384800000034,1
Cluster_2950,493.1002073,9.082124336,,,,,No,no,iglu#4+O,C21H23N2O10P,Cluster_2815,1_layer_mass,simil:NA; mzdiff:Hydroxylation (+O); homol mz:NA; homol RT:NA,NA,-15.994384800000034,1
Cluster_2968,496.0999758,9.982880952,,,,,Yes,no,iglu#4+-18.994,NA,Cluster_2815,1_layer_gnps,simil:0.8599; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-18.994153299999994,2
Cluster_2972,497.0955784,9.305338672,angl#4,C20H23N2O11P,,sirius + RT publication ,Yes,no,iglu#4+-19.99,NA,Cluster_2815,1_layer_gnps,simil:0.8804; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-19.989755900000034,1
Cluster_2984,498.1520901,11.14351083,,,,,Yes,no,iglu#4+-21.046,NA,Cluster_2815,1_layer_gnps,simil:0.8784; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-21.04626760000002,2
Cluster_2996,499.1103971,4.394134107,,,,,Yes,no,angl#4+H2,C20H25N2O11P,Cluster_2972,1_layer_mass,simil:NA; mzdiff:Hydrogenation (+H2); homol mz:NA; homol RT:NA,NA,-2.014818699999978,1
Cluster_3000,500.0943804,7.669998608,,,,,Yes,no,iglu#2+-142.025,NA,Cluster_2005,1_layer_gnps,simil:0.8825; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-142.02479139999997,2
Cluster_3009,501.1056261,10.21025935,,,,,No,no,iglu#2+C9H5NO,C23H23N2O9P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr -> icas (+C9H5NO); homol mz:NA; homol RT:NA,NA,-143.0360371,1
Cluster_3012,501.1056261,10.2127,,,,,No,no,iglu#2+C9H5NO,C23H23N2O9P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr -> icas (+C9H5NO); homol mz:NA; homol RT:NA,NA,-143.0360371,1
Cluster_3036,505.1462359,11.46225876,,,,,Yes,no,angl#4+-8.051,NA,Cluster_2972,1_layer_gnps,simil:0.8907; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-8.0506575,1
Cluster_3115,514.1103213,9.569154901,,,,,Yes,no,iglu#2+-156.041,NA,Cluster_2005,1_layer_gnps,simil:0.8743; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-156.0407323,3
Cluster_3126,515.1519003,5.524364481,,,,,Yes,no,angl#4+-18.056,NA,Cluster_2972,1_layer_gnps,simil:0.8997; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-18.056321899999944,1
Cluster_3146,520.1204155,5.956653181,,,,,Yes,no,iglu#2+C6H10O5,C20H28NO13P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol mz:NA; homol RT:NA,NA,-162.05082650000003,2
Cluster_3194,524.1675969,10.37349251,,,,,Yes,no,icas#3+HPO3,C24H32NO10P,Cluster_2551,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96511560000005,1
Cluster_3225,528.086439,9.402797073,,,,,Yes,no,angl#4+-30.991,NA,Cluster_2972,1_layer_gnps,simil:0.8729; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-30.99086060000002,1
Cluster_3278,533.177784,13.15680994,,,,,Yes,no,angl#4+-36.082,NA,Cluster_2972,1_layer_gnps,simil:0.878; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-36.08220559999995,1
